ISim log file
Running: D:\Desktop\CO\P7\CPU\mips_txt_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb D:/Desktop/CO/P7/CPU/mips_txt_isim_beh.wdb 
ISim P.20131013 (signature 0x7708f090)
WARNING: A WEBPACK license was found.
WARNING: Please use Xilinx License Configuration Manager to check out a full ISim license.
WARNING: ISim will run in Lite mode. Please refer to the ISim documentation for more information on the differences between the Lite and the Full version.
This is a Lite version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
@00003000: $ 1 <= 00000000
@00004180: $ 5 <= 00003004
@00004184: $ 4 <= 00003008
@00004188: $ 1 <= 00000003
@0000418c: $ 6 <= 00000004
@00004180: $ 5 <= 00003008
@00004184: $ 4 <= 0000300c
@00004188: $ 1 <= 00000006
@0000418c: $ 6 <= 00000007
@00004180: $ 5 <= 00003010
@00004184: $ 4 <= 00003014
@00004188: $ 1 <= 00000009
@0000418c: $ 6 <= 0000000a
@00004180: $ 5 <= 00003014
@00004184: $ 4 <= 00003018
@00004188: $ 1 <= 0000000c
@0000418c: $ 6 <= 0000000d
@00004180: $ 5 <= 00003018
@00004184: $ 4 <= 0000301c
@00004188: $ 1 <= 0000000f
@0000418c: $ 6 <= 00000010
@00004180: $ 5 <= 0000301c
@00004184: $ 4 <= 00003020
@00004188: $ 1 <= 00000012
@0000418c: $ 6 <= 00000013
@00004180: $ 5 <= 00003020
@00004184: $ 4 <= 00003024
@00004188: $ 1 <= 00000015
@0000418c: $ 6 <= 00000016
@00004180: $ 5 <= 00003024
@00004184: $ 4 <= 00003028
@00004188: $ 1 <= 00000018
@0000418c: $ 6 <= 00000019
@00004180: $ 5 <= 00003028
@00004184: $ 4 <= 0000302c
@00004188: $ 1 <= 0000001b
@0000418c: $ 6 <= 0000001c
@00004180: $ 5 <= 0000302c
@00004184: $ 4 <= 00003030
@00004188: $ 1 <= 0000001e
@0000418c: $ 6 <= 0000001f
@00004180: $ 5 <= 00003030
@00004184: $ 4 <= 00003034
@00004188: $ 1 <= 00000021
@0000418c: $ 6 <= 00000022
@00004180: $ 5 <= 00003034
@00004184: $ 4 <= 00003038
@00004188: $ 1 <= 00000024
@0000418c: $ 6 <= 00000025
@00004180: $ 5 <= 00003038
@00004184: $ 4 <= 0000303c
@00004188: $ 1 <= 00000027
@0000418c: $ 6 <= 00000028
@00004180: $ 5 <= 0000303c
@00004184: $ 4 <= 00003040
@00004188: $ 1 <= 0000002a
@0000418c: $ 6 <= 0000002b
@00004180: $ 5 <= 00003040
@00004184: $ 4 <= 00003044
@00004188: $ 1 <= 0000002d
@0000418c: $ 6 <= 0000002e
@00004180: $ 5 <= 00003044
@00004184: $ 4 <= 00003048
@00004188: $ 1 <= 00000030
@0000418c: $ 6 <= 00000031
@00004180: $ 5 <= 00003048
@00004184: $ 4 <= 0000304c
@00004188: $ 1 <= 00000033
